rank,isbn13,12세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788954609623,6349,0.997,49.7,99.5,거짓말 학교 ,전성희 글 ;소윤경 그림,문학동네,2009,11~13세,12,대칭,False,17142
2,9788984318304,5910,0.981,49.3,98.3,블랙아웃 :박효미 장편동화 ,지은이: 박효미 ;그린이: 마영신,한겨레출판,2014,11~13세,12,대칭,False,14595
3,9788932020570,4804,0.999,48.1,98.1,이모의 꿈꾸는 집 ,정옥 지음 ;정지윤 그림,문학과지성사,2010,12세,12,대칭,False,7451
4,9788954617352,4820,0.987,48.1,97.5,열세 번째 아이 ,이은용 글 ;이고은 그림,문학동네,2012,11~13세,12,대칭,False,11188
5,9788990369307,3768,0.998,46.7,96.6,"아버지의 편지:다산 정약용, 편지로 가르친 아버지의 사랑",정약용 글;한문희 엮음,함께읽는책,2004,12세,12,대칭,False,5320
6,9788954617895,3803,0.992,46.8,96.4,몬스터 바이러스 도시 ,최양선 글 ;정지혜 그림,문학동네,2012,11~13세,12,대칭,False,8645
7,9788954612883,5799,0.938,49.2,96.0,"봉주르, 뚜르 ",한윤섭 글 ;김진화 그림,문학동네,2010,11~13세,12,대칭,False,14086
8,9788987721095,5101,0.952,48.4,96.0,우리들의 일그러진 영웅,이문열 지음,다림,1999,11~13세,13,더 어린 아이부터 봄,False,15336
9,9788954644259,3026,0.998,45.5,95.4,어느 날 그 애가 ,이은용 글 ;국민지 그림,문학동네,2017,11~13세,12,대칭,False,6933
10,9788994077468,3269,0.987,45.9,95.2,아름다운 아이 ,R. J. 팔라시오 지음 ;천미나 옮김,책과콩나무,2012,11~13세,13,더 어린 아이부터 봄,False,10537
11,9788932371184,3315,0.983,46.0,95.1,6학년 1반 구덕천 :허은순 소년소설 ,허은순 [글] ;곽정우 그림,현암사,2008,12세,12,대칭,False,5205
12,9788987721118,4743,0.94,48.0,95.0,(황순원 단편집)소나기,황순원 글;강우현 그림,다림,1999,12~13세,13,더 어린 아이부터 봄,False,11129
13,9788987721217,6588,0.902,49.9,95.0,(박완서 동화집)자전거 도둑,박완서 글;한병호 그림,다림,2000,11~13세,13,더 어린 아이부터 봄,False,21648
14,9788936433895,3856,0.962,46.8,95.0,몽실 언니 :권정생 소년소설 ,지은이: 권정생 ;그린이: 이철수,창비,2012,11~13세,13,더 어린 아이부터 봄,False,10501
15,9788936447489,2724,0.999,44.9,94.8,열세 살의 여름 :이윤희 만화 ,지은이: 이윤희,창비,2019,11~13세,12,대칭,True,6915
16,9788957981856,3864,0.951,46.9,94.4,마사코의 질문 :손연자 동화집 ,지은이: 손연자 ;그린이: 김재홍,푸른책들,2009,11~12세,12,대칭,False,7044
17,9788963190730,2696,0.989,44.8,94.3,검은 후드티 소년 ,이병승 글 ;이담 그림,북멘토,2013,11~13세,12,대칭,False,5507
18,9788993900699,2399,0.998,44.2,94.0,살아 남은 자들,에린 헌터 지음 ;윤영 옮김,가람어린이,2015,11~13세,13,더 어린 아이부터 봄,False,7420
19,9788936442996,4828,0.917,48.1,94.0,불량한 자전거 여행 :김남중 장편동화,지은이: 김남중 ;오승민,창비,2019,11~13세,12,대칭,False,12524
20,9788957981023,4006,0.938,47.1,93.9,너도 하늘말나리야:이금이 장편동화,이금이 지음;송진헌 그림,푸른책들,2007,12~13세,12,더 큰 아이 쪽으로 넓음,False,8204
21,9788992026819,2289,0.993,43.9,93.5,나쁜 초콜릿 ,샐리 그린들리 지음 ;정미영 옮김,봄나무,2012,12~13세,12,대칭,False,4331
22,9788936442217,2644,0.977,44.7,93.5,지엠오 아이:문선이 장편동화,문선이 지음;유준재 그림,창비,2005,11~13세,12,대칭,False,6290
23,9788971846223,3732,0.937,46.7,93.5,생각 깨우기 ,이어령 글 ;노인경 그림,푸른숲,2009,12세,12,대칭,False,6540
24,9788936443283,2207,0.996,43.7,93.5,불량한 자전거 여행 :김남중 장편동화,지은이: 김남중 ;오승민,창비,2019,11~13세,12,대칭,False,5290
25,9788936443108,2141,0.998,43.5,93.4,연동동의 비밀 :이현 장편동화 ,지은이: 이현 ;그린이: 오승민,창비,2020,11~13세,12,대칭,False,4911
26,9788932022994,2802,0.966,45.0,93.3,황금 깃털 ,정설아 지음 ;소윤경 그림,문학과지성사,2012,11~13세,13,더 어린 아이부터 봄,False,6863
27,9788932030753,2041,1.0,43.2,93.2,용의 미래 ,최양선 지음 ;안경미 그림,문학과지성사,2018,11~13세,12,대칭,False,4675
28,9791187777694,2045,0.998,43.3,93.1,전사들 :예언의 시작 ,에린 헌터 지음 ;서나연 옮김,가람어린이,2018,11~13세,13,더 어린 아이부터 봄,False,6586
29,9788925545509,2048,0.997,43.3,93.1,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011,11~13세,13,더 어린 아이부터 봄,False,6865
30,9788954636803,1943,0.999,43.0,92.9,첫사랑 쟁탈기 ,천효정 글 ;한승임 그림,문학동네,2015,11~13세,12,대칭,False,4310
31,9791187777021,1901,1.0,42.8,92.8,스파이 걸스,앨리 카터 지음 ;김시경 옮김,가람문학사,,11~13세,13,더 어린 아이부터 봄,False,5719
32,9788937814396,2737,0.958,44.9,92.8,(두 얼굴의 나라)미국 이야기,정범진;정수연 그림,대한교과서,2004,12세,12,더 큰 아이 쪽으로 넓음,False,3272
33,9791158360962,2578,0.964,44.6,92.7,오늘부터 문자 파업 :토미 그린월드 장편동화 ,지은이: 토미 그린월드 ;옮긴이: 이정희,책읽는곰,2018,11~13세,12,대칭,False,6499
34,9788952221612,2520,0.963,44.4,92.6,국경을 넘는 아이들 ,박현숙 글 ;한수진 그림,살림출판사,2013,11~12세,12,대칭,False,4755
35,9788949140070,1829,0.999,42.6,92.6,미드나잇 아워 ,"벤저민 리드,황소연 옮김",비룡소,2020,11~13세,12,대칭,False,3729
36,9788932028651,1959,0.99,43.0,92.5,해피 버스데이 투 미 ,신운선 지음 ;서현 그림,문학과지성사,2016,11~13세,12,대칭,False,4585
37,9791167550903,3333,0.928,46.0,92.4,열세 살 우리는 ,문경민 글 ;이소영 그림,우리학교,2023,11~12세,12,대칭,False,7583
38,9788993900972,2535,0.959,44.5,92.4,전사들 :새로운 예언,에린 헌터 지음 ;서나연 옮김,가람문학사,2016,11~13세,13,더 어린 아이부터 봄,False,8458
39,9788949124216,1793,0.997,42.5,92.4,셜록 홈즈,아서 코난 도일 지음 ;조승연 그림,비룡소,2013,11~13세,13,더 어린 아이부터 봄,False,6156
40,9788971846841,2392,0.963,44.1,92.3,나는 비단길로 간다 ,이현 글 ;백대승 그림,푸른숲,2012,11~12세,12,대칭,False,4380
41,9788954605137,2425,0.96,44.2,92.2,궁녀 학이 ,문영숙 글 ;이승원 그림,문학동네,2008,11~13세,11,더 큰 아이 쪽으로 넓음,False,7003
42,9788932026367,2535,0.954,44.5,92.2,사이렌 ,전성현 지음 ;조성흠 그림,문학과지성사,2014,12~13세,12,더 큰 아이 쪽으로 넓음,False,5199
43,9788936441777,2609,0.949,44.6,92.1,샘마을 몽당깨비:황선미 장편 동화,황선미 지음;김성민 그림,창작과 비평사,1999,12세,12,더 어린 아이부터 봄,False,2609
44,9788936442491,1713,0.997,42.2,92.1,소나기밥 공주 :이은정 장편동화 ,지은이: 이은정 ;그린이: 정문주,창비,2009,11~13세,12,대칭,False,4834
45,9788983945518,1696,0.996,42.2,92.0,검은 눈물 석유 ,김성호 글 ;이경국 그림,미래M&B,2009,12세,12,대칭,False,2851
46,9788936442323,1669,0.997,42.1,92.0,만국기 소년:유은실 동화집,유은실 지음;정성화 그림,창비,2007,12~13세,12,대칭,False,2912
47,9788954642958,2009,0.975,43.2,91.9,제후의 선택 ,김태호 글 ;노인경 그림,문학동네,2016,11~13세,12,대칭,False,4681
48,9788925545516,1771,0.987,42.4,91.8,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011,11~13세,13,더 어린 아이부터 봄,False,5837
49,9788954614542,1982,0.973,43.1,91.7,그 사람을 본 적이 있나요? ,김려령 글 ;장경혜 그림,문학동네,2011,11~13세,13,더 어린 아이부터 봄,False,5445
50,9788983946942,3138,0.92,45.7,91.7,광고의 비밀 :왜 자꾸 사고 싶을까? ,김현주 글 ;강희준 그림,미래M&B,2012,12세,12,더 어린 아이부터 봄,False,5006
51,9791186075555,2350,0.952,44.0,91.6,지구촌 아름다운 거래 탐구생활 :착한 사회를 위한 공정무역 이야기 ,한수정 글 ;송하완 그림,파란자전거,2016,12세,12,더 큰 아이 쪽으로 넓음,False,3107
52,9788952785282,1577,0.994,41.8,91.5,붉은 실 ,이나영 글 ;이수희 그림,시공사,2017,12세,12,대칭,False,2713
53,9788932028392,1849,0.974,42.7,91.4,언제나 웃게 해 주는 약 :정수민 동화집 ,지은이: 정수민 ;그린이: 신민재,문학과지성사,2016,11~13세,12,대칭,False,4073
54,9791187777052,1982,0.965,43.1,91.3,전사들 :새로운 예언,에린 헌터 지음 ;서나연 옮김,가람문학사,2016,11~13세,13,더 어린 아이부터 봄,False,6478
55,9788964963036,2974,0.918,45.4,91.3,구멍 난 벼루 :김정희와 허련의 그림 이야기 ,배유안 글 ;서영아 그림,토토북,2016,12세,12,더 어린 아이부터 봄,False,5070
56,9788943304621,2002,0.962,43.1,91.2,느낌 있는 그림 이야기,이주헌 지음,보림,2002,12세,12,더 큰 아이 쪽으로 넓음,False,2688
57,9791155096116,3154,0.91,45.7,91.2,레몬첼로 도서관 탈출 게임 ,글: 크리스 그라번스타인 ;옮김: 정회성,이퍼블릭,2016,11~13세,13,더 어린 아이부터 봄,False,12474
58,9788925545523,1592,0.986,41.8,91.1,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,주니어RHK,,11~13세,13,더 어린 아이부터 봄,False,5198
59,9788936442507,6573,0.824,49.9,91.1,불량한 자전거 여행 :김남중 장편동화 ,지은이: 김남중 ;그린이: 허태준,창비,2009,11~12세,12,더 어린 아이부터 봄,False,22386
60,9791162041222,2238,0.946,43.8,91.0,불붙은 링을 뛰어넘는 소년 ,글: 허교범 ;그림: 리페,지학사,2021,11~13세,12,대칭,False,6284
61,9791165180508,1725,0.974,42.3,91.0,전사들 :셋의 힘 ,"에린 헌터,서현정 옮김",가람어린이,2020,11~13세,13,더 어린 아이부터 봄,False,4330
62,9788980713608,1510,0.987,41.5,90.9,혼자 되었을 때 보이는 것 ,남찬숙 글 ;정지혜 그림,미세기,2015,11~13세,12,대칭,False,3305
63,9791156550372,2148,0.947,43.5,90.9,블랙리스트 :사라지는 아이들의 비밀 ,오혜원 글 ;이갑규 그림,한우리북스,2016,11~13세,12,대칭,False,6064
64,9788954683029,1864,0.963,42.7,90.9,동희의 오늘 ,임은하 글 ;임나운 그림,문학동네,2021,11~13세,12,대칭,False,4327
65,9788958281528,2254,0.941,43.8,90.9,걱정쟁이 열세 살:최나미 장편동화,최나미 지음;정문수 그림,사계절출판사,2006,12세,12,더 어린 아이부터 봄,False,2254
66,9788949121604,2809,0.916,45.1,90.9,컬러보이 =손서은 장편동화 /Color boy ,글쓴이: 손서은 ;그린이: 소윤경,비룡소,2014,11~13세,12,대칭,False,7862
67,9788962471977,1867,0.962,42.7,90.8,열세 살의 덩크 슛 ,이나영 글 ;국민지 그림,위즈덤하우스 미디어그룹,2019,11~12세,12,대칭,False,3287
68,9788993900156,1332,0.999,40.8,90.8,뱀파이어 블로그 ,피트 존슨 지음 ;김화경 옮김,가람어린이,2011,11~13세,12,대칭,False,2806
69,9788949121512,1566,0.98,41.7,90.8,나는 바람이다,김남중 글 ;강전희 그림,비룡소,,11~13세,12,대칭,False,3318
70,9791187777267,1513,0.982,41.5,90.7,전사들 :새로운 예언,에린 헌터 지음 ;서나연 옮김,가람문학사,2016,11~13세,12,대칭,False,3820
71,9788974783037,2677,0.917,44.8,90.6,주식회사 6학년 2반 :CEO를 꿈꾸는 어린이 경제동화 ,석혜원 글 ;한상언 그림,다섯수레,2009,11~12세,12,대칭,False,5038
72,9788925543222,3653,0.881,46.5,90.6,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011,11~13세,13,더 어린 아이부터 봄,False,15529
73,9788984315907,2820,0.909,45.1,90.5,사춘기 가족 :오미경 장편동화 ,지은이: 오미경 ;그린이: 조승연,한겨레출판,2012,11~13세,12,대칭,False,8545
74,9791188406456,1387,0.989,41.0,90.5,5분 후 의외의 결말,편저자: 학연플러스 ;홍재신,루덴스미디어,2018,11~13세,12,대칭,False,3500
75,9791160266115,1408,0.986,41.1,90.5,기울어진 집 ,톰 르웰린 글 ;김영욱 옮김,작가정신,2016,11~13세,13,더 어린 아이부터 봄,False,3901
76,9788936446093,1646,0.968,42.0,90.4,(장애를 넘어 인류애에 이른) 헬렌 켈러 ,권태선 글 ;원혜영 그림,창비,2010,12세,12,더 큰 아이 쪽으로 넓음,False,2489
77,9791161720043,1375,0.988,41.0,90.4,(지옥의 섬) 군함도 ,김영숙 글 ;박세영 그림,풀빛,2017,11~13세,12,대칭,False,2959
78,9791158360450,2766,0.909,45.0,90.4,오늘부터 공부 파업 ,토미 그린월드 글 ;허현경 그림,책읽는곰,2017,11~13세,12,대칭,False,8229
79,9788993900743,1704,0.963,42.2,90.4,살아 남은 자들,에린 헌터 지음 ;윤영 옮김,가람어린이,2015,11~13세,13,더 어린 아이부터 봄,False,4087
80,9788954614504,1754,0.958,42.4,90.3,귀서각 :한밤에 깨어나는 도서관 ,보린 글 ;오정택 그림,문학동네,2011,11~13세,12,대칭,False,4601
81,9791169230209,1319,0.99,40.8,90.3,블라인드,원작: 잠뜰TV ;그림: 루체,서울문화사,2021,11~13세,12,대칭,True,3113
82,9788989863700,1345,0.987,40.9,90.2,히틀러의 딸 ,재키 프렌치 지음 ;공경희 옮김,북뱅크,2009,11~13세,12,대칭,False,3512
83,9788936442965,2745,0.906,44.9,90.2,아빠를 주문했다 :서진 장편동화 ,지은이: 서진 ;그린이: 박은미,창비,2018,11~13세,12,대칭,False,8748
84,9788965134916,1173,1.0,40.1,90.1,나는 그때 왜 비겁했을까? ,이벤 아케를리 지음 ;손화수 옮김,아름다운사람들,2018,11~13세,12,대칭,False,2969
85,9791186490037,1543,0.968,41.7,90.1,(아름다운 아이) 줄리안 이야기 ,R. J. 팔라시오 지음 ;천미나 옮김,책과콩나무,2015,12~13세,12,대칭,False,3576
86,9788925543239,2753,0.902,44.9,90.0,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011,11~13세,13,더 어린 아이부터 봄,False,11003
87,9791187777397,1324,0.985,40.8,90.0,전사들 :새로운 예언,에린 헌터 지음 ;서나연 옮김,가람문학사,2016,11~13세,13,더 어린 아이부터 봄,False,3389
88,9791187777571,1165,0.998,40.1,90.0,뱀파이어 시스터 =The vampire sister,시에나 머서 지음 ;김시경 옮김,가람어린이,2014,11~13세,12,대칭,False,3077
89,9788937807558,1221,0.993,40.3,90.0,고양이가 되다 ,매트 헤이그 글 ;김영옥 옮김,미래엔,2015,11~13세,12,대칭,False,3006
90,9788970572505,2029,0.935,43.2,90.0,열두 사람의 아주 특별한 동화,송재찬 외글;신동옥 [공]그림,파랑새어린이,2001,12세,12,더 어린 아이부터 봄,False,2029
91,9788965483045,1170,0.997,40.1,90.0,(구스범스) 호러특급,R. L. 스타인 지음 ;신인수 옮김,고릴라박스,,11~13세,12,대칭,False,3390
92,9788936443139,1749,0.952,42.4,90.0,30킬로미터 :김영주 장편동화 ,지은이: 김영주 ;그린이: 모예진,창비,2020,11~13세,12,대칭,False,4459
93,9788954671071,1684,0.956,42.1,89.9,블루마블 ,이나영 글 ;유경화 그림,문학동네,2020,11~13세,12,대칭,False,4213
94,9788936442637,2807,0.897,45.0,89.9,잃어버린 일기장 :전성현 장편동화 ,지은이: 전성현 ;그린이: 조성흠,창비,2011,11~13세,12,대칭,False,8077
95,9788990611727,3234,0.881,45.9,89.9,조선왕실의 보물 의궤 ,글: 유지현 ;그림: 이장미,토토북,2009,12세,12,더 어린 아이부터 봄,False,5549
96,9788949124469,1781,0.947,42.5,89.8,건방이의 초강력 수련기 :season 2,천효정 글 ;이정태 그림,비룡소,2020,11~13세,13,더 어린 아이부터 봄,False,5960
97,9788936448202,1144,0.997,40.0,89.8,이리의 형제 ,허교범 글 ;산사 그림,창비,2022,11~13세,12,대칭,False,2700
98,9791188283286,1344,0.979,40.9,89.8,블랙리스트 :사라지는 아이들의 비밀 ,오혜원 글 ;이갑규 그림,스푼북,2018,11~13세,12,대칭,False,3002
99,9791187777144,1677,0.953,42.1,89.8,전사들 :새로운 예언,에린 헌터 지음 ;서나연 옮김,가람문학사,2016,11~13세,12,대칭,False,5354
100,9788925552842,1139,0.996,39.9,89.7,스파이 스쿨,스튜어트 깁스 글 ;김경희 옮김,알에이치코리아,2014,11~13세,12,대칭,False,3058
