rank,isbn13,1세_대출,적합도,인기점수(50),추천도(100),제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
1,9788943310721,660,0.9,50.0,95.0,눈 코 입 ,글·그림: 백주희,보림출판사,2017,1~2세,1,더 큰 아이 쪽으로 넓음,True,1941
2,9788943307219,589,0.889,49.1,93.6,엄마랑 뽀뽀 ,김동수 지음,보림출판사,2008,1~2세,1,더 큰 아이 쪽으로 넓음,True,1999
3,9788943306090,577,0.828,49.0,90.4,사과가 쿵!,다다 히로시 지음;정근 옮김,보림출판사,2006,1~2세,1,더 큰 아이 쪽으로 넓음,True,3510
4,9788958282136,541,0.817,48.5,89.3,두드려 보아요,글·그림: 안나 클라라 티돌름,사계절출판사,2007,1~2세,1,더 큰 아이 쪽으로 넓음,True,2601
5,9791185173184,441,0.835,46.9,88.7,"코~ 자자, 코~ 자 ",김선영 글 ;김현 그림,키위북스,2015,1~2세,1,더 큰 아이 쪽으로 넓음,False,1964
6,9791185173344,425,0.854,46.6,89.3,우리 아가 사랑해 ,김선영 글 ;김효은 그림,키위북스,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1787
7,9788970940564,404,0.789,46.2,85.7,달님 안녕 ,글·그린이: 하야시 아키코 ;옮긴이: 이영준,한림출판사,2006,1~3세,1,더 큰 아이 쪽으로 넓음,True,2993
8,9788955823325,403,0.792,46.2,85.8,아가야 밥 먹자 ,여정은 글 ;김태은 그림,길벗어린이,2015,1~2세,1,더 큰 아이 쪽으로 넓음,True,2181
9,9788958281320,396,0.795,46.1,85.8,누구 얼굴? ,글: 김정희 ;그림: 김유대,사계절,2016,1~2세,1,더 큰 아이 쪽으로 넓음,True,2399
10,9788958280798,392,0.701,46.0,81.0,누구 엉덩이? ,글: 김정희 ;그림: 김유대,사계절,2016,1~3세,1,더 큰 아이 쪽으로 넓음,True,7203
11,9788943308193,391,0.865,46.0,89.2,아빠한테 찰딱 ,최정선 글 ;한병호 그림,보림출판사,2011,1~2세,1,더 큰 아이 쪽으로 넓음,True,1394
12,9788936446819,386,0.299,45.9,60.8,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,3~8세,3,더 큰 아이 쪽으로 넓음,True,55125
13,9788955822618,386,0.875,45.9,89.6,아기가 아장아장 ,권사우 글·그림,길벗어린이,2013,1~2세,1,더 큰 아이 쪽으로 넓음,True,1241
14,9788955821154,373,0.879,45.6,89.6,뒹굴뒹굴 짝짝 ,백연희 글 ;주경호 그림,길벗어린이,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,1108
15,9788993242706,360,0.284,45.3,59.6,장수탕 선녀님 ,지은이: 백희나,책읽는곰,2012,3~8세,4,더 큰 아이 쪽으로 넓음,True,55983
16,9791185173207,353,0.821,45.2,86.3,똑 닮았어 ,김선영 글 ;한병호 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1844
17,9791185173269,341,0.792,44.9,84.5,치카치카 쓱쓱 ,김선영 글 ;이갑규 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1999
18,9788901052922,336,0.639,44.8,76.8,괜찮아,최숙희 지음,웅진씽크빅,2005,1~4세,1,더 큰 아이 쪽으로 넓음,False,7981
19,9788901220499,336,0.831,44.8,86.3,꾸벅 인사 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1442
20,9788943308056,325,0.791,44.5,84.1,치카 치카 하나 둘 ,글: 최정선 ;그림: 윤봉선,보림출판사,2010,1~2세,1,더 큰 아이 쪽으로 넓음,True,1495
21,9788984888661,325,0.815,44.5,85.3,내가 안아 줄게 ,배현주 지음,베틀북,2015,1~2세,1,더 큰 아이 쪽으로 넓음,False,1512
22,9791158360375,320,0.287,44.4,58.8,알사탕 ,백희나,책읽는곰,2017,3~8세,4,더 큰 아이 쪽으로 넓음,True,49004
23,9788901220512,317,0.856,44.4,87.1,짠! 까꿍 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1237
24,9791165730598,312,0.82,44.2,85.2,후후후 ,글: 서지연 ;그림: 김지안,천개의바람,2020,1~2세,1,더 큰 아이 쪽으로 넓음,True,1459
25,9788958288565,311,0.8,44.2,84.2,아기 꽃이 펑! ,황K 글·그림,사계절출판사,2015,1~2세,1,더 큰 아이 쪽으로 넓음,True,1600
26,9788901220444,309,0.807,44.2,84.5,냠냠 식사 놀이 ,글·그림: 기무라 유이치 ;옮김: 김미형,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1617
27,9788901121390,305,0.496,44.1,68.9,기분을 말해 봐! ,글·그림: 앤서니 브라운 ;옮김: 홍연미,웅진씽크빅,2011,2~5세,1,더 큰 아이 쪽으로 넓음,False,18168
28,9791185173498,305,0.832,44.1,85.7,"인사해요, 안녕! ",김선영 글 ;신성희 그림,키위북스(Kiwibooks),2019,1~2세,1,더 큰 아이 쪽으로 넓음,False,1276
29,9791185173252,302,0.783,44.0,83.1,그럼 내가 먹을까? ,김선영 글 ;배현주 그림,키위북스(Kiwibooks),2016,1~2세,1,더 큰 아이 쪽으로 넓음,False,1953
30,9788901220482,301,0.799,44.0,83.9,싹싹 이 닦기 놀이 ,글·그림: 기무라 유이치 ;옮김: 최윤정,웅진씽크빅,2017,1~2세,1,더 큰 아이 쪽으로 넓음,False,1547
31,9791165731915,300,0.85,43.9,86.4,주세요 주세요 ,글: 신혜영 ;그림: 최미란,천개의바람,2021,1~2세,1,더 큰 아이 쪽으로 넓음,True,985
32,9788955821857,300,0.811,43.9,84.5,냠냠냠 쪽쪽쪽 ,문승연 글·그림,길벗어린이,2011,1~3세,1,더 큰 아이 쪽으로 넓음,True,1705
